respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.26,0.37
26708,0.04,0.09
26709,0.34,0.77
26710,0.66,0.81
26711,0.43,0.42
26712,0.63,0.89
26713,0.43,0.75
26714,0.14,0.15
26715,0.0,0.05
26716,0.17,0.91
26717,0.04,0.39
26718,0.24,0.62
26719,0.17,0.77
26720,0.06,0.22
26721,0.36,0.56
26722,0.08,0.12
26723,0.68,0.88
26724,0.02,0.69
26725,0.04,0.08
26726,0.06,0.12
26727,0.39,0.79
26728,0.28,0.48
26729,0.25,0.52
26730,0.04,0.24
26731,0.04,0.29
26732,0.16,0.16
26733,0.85,0.93
26734,0.59,0.49
26735,0.01,0.21
26736,0.06,0.14
26737,0.12,0.19
26738,0.71,0.7
26739,0.06,0.23
26740,0.21,0.2
26741,0.16,0.88
26742,0.16,0.29
26743,0.02,0.38
26744,0.06,0.65
26745,0.14,0.7
26746,0.14,0.28
26747,0.1,0.16
26748,0.14,0.08
26749,0.18,0.57
26750,0.4,0.94
26751,0.43,0.77
26752,0.09,0.19
26753,0.19,0.46
26754,0.2,0.54
26755,0.04,0.32
26756,0.0,0.06
26757,0.25,0.57
26758,0.49,0.76
26759,0.0,0.11
26760,0.04,0.19
26761,0.4,0.66
26762,0.29,0.73
26763,0.75,0.91
26764,0.82,0.96
26765,0.12,0.56
26766,0.14,0.13
26767,0.72,0.67
26768,0.03,0.35
26769,0.18,0.33
26770,0.07,0.46
26771,0.05,0.32
26772,0.12,0.5
26773,0.14,0.37
26774,0.09,0.42
26775,0.03,0.49
26776,0.27,0.36
26777,0.25,0.83
26778,0.08,0.07
26779,0.26,0.59
26780,0.15,0.82
26781,0.15,0.39
26782,0.16,0.28
26783,0.01,0.14
26784,0.2,0.77
26785,0.35,0.65
26786,0.05,0.18
26787,0.07,0.49
26788,0.14,0.84
26789,0.06,0.33
26790,0.01,0.12
26791,0.04,0.15
26792,0.1,0.65
26793,0.2,0.94
26794,0.46,0.76
26795,0.15,0.77
26796,0.03,0.08
26797,0.21,0.65
26798,0.45,0.28
26799,0.32,0.41
26800,0.16,0.89
26801,0.16,0.26
26802,0.09,0.12
26803,0.03,0.12
26804,0.07,0.14
26805,0.05,0.19
26806,0.01,0.88
26807,0.31,0.79
26808,0.06,0.38
26809,0.51,0.28
26810,0.03,0.11
26811,0.02,0.09
26812,0.3,0.75
26813,0.48,0.45
26814,0.0,0.63
26815,0.0,0.04
26816,0.18,0.19
26817,0.0,0.61
26818,0.26,0.35
26819,0.19,0.23
26820,0.07,0.11
26821,0.05,0.47
26822,0.12,0.63
26823,0.33,0.46
26824,0.06,0.61
26825,0.56,0.7
26826,0.03,0.78
26827,0.03,0.18
26828,0.06,0.39
26829,0.69,0.92
26830,0.03,0.67
26831,0.17,0.72
26832,0.06,0.85
26833,0.09,0.48
26834,0.27,0.48
26835,0.33,0.82
26836,0.32,0.65
26837,0.13,0.13
26838,0.06,0.57
26839,0.11,0.47
26840,0.08,0.23
26841,0.45,0.62
26842,0.01,0.19
26843,0.07,0.07
26844,0.05,0.26
26845,0.03,0.7
26846,0.04,0.8
26847,0.53,0.35
26848,0.05,0.66
26849,0.39,0.53
26850,0.53,0.69
26851,0.03,0.04
26852,0.06,0.13
26853,0.11,0.44
26854,0.02,0.07
26855,0.39,0.78
26856,0.1,0.11
26857,0.56,0.34
26858,0.21,0.51
26859,0.01,0.14
26860,0.23,0.18
26861,0.02,0.11
26862,0.04,0.3
26863,0.14,0.46
26864,0.25,0.32
26865,0.12,0.09
26866,0.01,0.64
26867,0.13,0.1
26868,0.7,0.74
26869,0.04,0.21
26870,0.73,0.86
26871,0.05,0.06
26872,0.17,0.37
26873,0.11,0.73
26874,0.05,0.1
26875,0.39,0.76
26876,0.06,0.09
26877,0.19,0.22
26878,0.11,0.31
26879,0.01,0.03
26880,0.11,0.15
26881,0.03,0.07
26882,0.01,0.01
26883,0.13,0.28
26884,0.1,0.16
26885,0.15,0.55
26886,0.21,0.72
26887,0.62,0.88
26888,0.88,0.98
26889,0.01,0.12
26890,0.13,0.5
26891,0.6,0.79
26892,0.14,0.62
26893,0.05,0.15
26894,0.33,0.28
26895,0.01,0.84
26896,0.04,0.04
26897,0.06,0.46
26898,0.27,0.62
26899,0.04,0.11
26900,0.04,0.17
26901,0.08,0.41
26902,0.07,0.87
26903,0.19,0.17
26904,0.15,0.55
26905,0.3,0.74
26906,0.05,0.23
26907,0.01,0.55
26908,0.08,0.56
26909,0.18,0.27
26910,0.09,0.36
26911,0.08,0.12
26912,0.54,0.81
26913,0.69,0.81
26914,0.01,0.26
26915,0.14,0.68
26916,0.08,0.09
26917,0.06,0.22
26918,0.87,0.99
26919,0.14,0.59
26920,0.04,0.08
26921,0.12,0.74
26922,0.03,0.79
26923,0.23,0.61
26924,0.91,0.94
26925,0.29,0.73
26926,0.49,0.66
26927,0.35,0.63
26928,0.09,0.49
26929,0.08,0.19
26930,0.51,0.76
26931,0.09,0.43
26932,0.1,0.88
26933,0.06,0.51
26934,0.39,0.67
26935,0.15,0.48
26936,0.34,0.22
26937,0.16,0.88
26938,0.04,0.1
26939,0.08,0.11
26940,0.16,0.26
26941,0.1,0.41
26942,0.66,0.78
26943,0.14,0.65
26944,0.02,0.08
26945,0.03,0.52
26946,0.11,0.69
26947,0.4,0.52
26948,0.09,0.04
26949,0.04,0.1
26950,0.02,0.37
26951,0.19,0.4
26952,0.77,0.84
26953,0.4,0.9
26954,0.01,0.2
26955,0.02,0.68
26956,0.29,0.16
26957,0.1,0.85
26958,0.17,0.71
26959,0.06,0.31
26960,0.03,0.14
26961,0.31,0.4
26962,0.11,0.79
26963,0.11,0.35
26964,0.06,0.21
26965,0.53,0.82
26966,0.02,0.11
26967,0.37,0.51
26968,0.09,0.92
26969,0.15,0.24
26970,0.72,0.57
26971,0.1,0.18
26972,0.04,0.03
26973,0.08,0.18
26974,0.21,0.33
26975,0.16,0.59
26976,0.82,0.66
26977,0.11,0.46
26978,0.01,0.73
26979,0.69,0.83
26980,0.05,0.05
26981,0.12,0.43
26982,0.58,0.81
26983,0.25,0.46
26984,0.04,0.13
26985,0.04,0.1
26986,0.07,0.43
26987,0.04,0.21
26988,0.04,0.1
26989,0.38,0.9
26990,0.03,0.07
26991,0.15,0.51
26992,0.24,0.41
26993,0.03,0.88
26994,0.17,0.33
26995,0.14,0.44
26996,0.28,0.4
26997,0.0,0.04
26998,0.03,0.07
26999,0.21,0.65
27000,0.05,0.28
27001,0.11,0.87
27002,0.05,0.35
27003,0.01,0.03
27004,0.44,0.29
27005,0.45,0.8
27006,0.73,0.83
27007,0.03,0.12
27008,0.16,0.12
27009,0.07,0.26
27010,0.03,0.1
27011,0.06,0.19
27012,0.33,0.48
27013,0.17,0.43
27014,0.07,0.33
27015,0.21,0.18
27016,0.07,0.26
27017,0.64,0.91
27018,0.01,0.26
27019,0.9,0.97
27020,0.37,0.36
27021,0.31,0.46
27022,0.07,0.22
27023,0.06,0.33
27024,0.16,0.37
27025,0.21,0.17
27026,0.05,0.38
27027,0.02,0.74
27028,0.48,0.83
27029,0.18,0.32
27030,0.28,0.38
27031,0.46,0.82
27032,0.26,0.6
27033,0.52,0.63
27034,0.06,0.71
27035,0.18,0.17
27036,0.21,0.74
27037,0.74,0.68
27038,0.02,0.03
27039,0.53,0.85
27040,0.18,0.28
27041,0.03,0.79
27042,0.08,0.52
27043,0.39,0.69
27044,0.04,0.1
27045,0.05,0.61
27046,0.03,0.14
27047,0.53,0.49
27048,0.05,0.5
27049,0.41,0.78
27050,0.11,0.7
27051,0.21,0.34
27052,0.07,0.35
27053,0.84,0.98
27054,0.02,0.03
27055,0.07,0.83
27056,0.14,0.15
27057,0.04,0.07
27058,0.89,0.92
27059,0.09,0.09
27060,0.08,0.24
27061,0.04,0.45
27062,0.09,0.48
27063,0.05,0.5
27064,0.12,0.58
27065,0.11,0.59
27066,0.06,0.54
27067,0.57,0.83
27068,0.57,0.87
27069,0.67,0.97
27070,0.03,0.04
27071,0.04,0.05
27072,0.24,0.62
27073,0.12,0.95
27074,0.11,0.25
27075,0.58,0.78
27076,0.62,0.66
27077,0.06,0.16
27078,0.15,0.69
27079,0.2,0.83
27080,0.14,0.2
27081,0.13,0.84
27082,0.23,0.37
27083,0.18,0.32
27084,0.65,0.62
27085,0.04,0.12
27086,0.08,0.05
27087,0.03,0.28
27088,0.37,0.64
27089,0.17,0.21
27090,0.34,0.71
27091,0.5,0.47
27092,0.14,0.33
27093,0.19,0.21
27094,0.03,0.12
27095,0.13,0.63
27096,0.11,0.3
27097,0.35,0.6
27098,0.64,0.9
27099,0.22,0.4
27100,0.16,0.68
27101,0.06,0.55
27102,0.1,0.79
27103,0.13,0.17
27104,0.42,0.67
27105,0.16,0.51
27106,0.6,0.75
27107,0.55,0.86
27108,0.29,0.25
27109,0.12,0.14
27110,0.05,0.29
27111,0.1,0.45
27112,0.44,0.73
27113,0.1,0.1
27114,0.01,0.18
27115,0.59,0.79
27116,0.05,0.82
27117,0.01,0.12
27118,0.05,0.59
27119,0.12,0.25
27120,0.27,0.91
27121,0.05,0.85
27122,0.03,0.3
27123,0.09,0.16
27124,0.03,0.16
27125,0.03,0.02
27126,0.29,0.18
27127,0.06,0.09
27128,0.22,0.56
27129,0.27,0.53
27130,0.06,0.14
27131,0.09,0.14
27132,0.39,0.94
27133,0.1,0.65
27134,0.89,0.99
27135,0.1,0.48
27136,0.09,0.47
27137,0.14,0.2
27138,0.17,0.42
27139,0.07,0.25
27140,0.82,0.93
27141,0.65,0.77
27142,0.02,0.14
27143,0.29,0.35
27144,0.04,0.15
27145,0.55,0.66
27146,0.13,0.9
27147,0.11,0.18
27148,0.16,0.09
27149,0.23,0.16
27150,0.5,0.81
27151,0.17,0.83
27152,0.06,0.16
27153,0.21,0.79
27154,0.76,0.87
27155,0.23,0.82
27156,0.01,0.15
27157,0.12,0.6
27158,0.03,0.33
27159,0.08,0.17
27160,0.15,0.37
27161,0.39,0.56
27162,0.08,0.83
27163,0.52,0.5
27164,0.12,0.21
27165,0.63,0.82
27166,0.25,0.23
27167,0.09,0.45
27168,0.18,0.64
27169,0.47,0.69
27170,0.65,0.84
27171,0.08,0.25
27172,0.03,0.8
27173,0.3,0.47
27174,0.15,0.2
27175,0.02,0.15
27176,0.81,0.87
27177,0.77,0.83
